province,market,type,name,time,time_diff
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-31,30.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-30,29.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-29,28.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-28,27.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-27,26.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-23,22.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-22,21.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-21,20.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-20,19.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-19,18.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-18,17.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-17,16.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-16,15.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-15,14.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-14,13.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-13,12.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-12,11.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-11,10.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-10,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-9,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-8,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-7,6.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-6,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-5,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-4,3.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-3,2.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-2,1.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-1,0.0
