province,market,type,name,time,y,_1day_avg,_1day_std,_1day_min,_2day_avg,_2day_std,_2day_min,_3day_avg,_3day_std,_3day_min,_4day_avg,_4day_std,_4day_min,_7day_avg,_7day_std,_7day_min,_14day_avg,_14day_std,_14day_min,_21day_avg,_21day_std,_21day_min,_30day_avg,_30day_std,_30day_min,_60day_avg,_60day_std,_60day_min
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-31,8.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-30,8.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-29,8.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-28,8.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-27,8.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-23,8.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-22,8.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-21,7.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-20,5.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-19,5.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-18,5.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-17,5.0,7.0,,7.0,7.5,0.7071067811865476,7.0,7.666666666666667,0.5773502691896257,7.0,7.75,0.4999999999999999,7.0,7.857142857142857,0.37796447300922725,7.0,7.571428571428571,0.5135525910130957,7.0,6.904761904761905,1.1791845447071425,5.0,6.379310344827586,1.3205462371806675,5.0,5.666666666666667,1.229595365111939,4.0
