province,market,type,name,time,_last_sell,_first_sell,_last_price
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-31,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-30,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-29,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-28,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-27,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-23,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-22,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-21,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-20,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-19,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-18,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-17,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-16,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-15,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-14,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-13,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-12,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-11,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-10,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-9,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-8,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-7,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-6,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-5,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-4,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-3,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-2,68.0,730.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-1-1,68.0,730.0,8.0
