province,market,type,name,time,time_diff
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-31,30.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-30,29.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-29,28.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-28,27.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-27,26.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-26,25.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-25,24.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-24,23.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-23,22.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-22,21.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-21,20.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-20,19.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-19,18.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-18,17.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-17,16.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-16,15.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-15,14.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-14,13.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-13,12.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-12,11.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-11,10.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-10,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-9,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-8,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-7,6.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-6,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-5,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-4,3.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-3,2.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-2,1.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-1,0.0
