province,market,type,name,time,_last_sell,_first_sell,_last_price
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-31,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-30,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-29,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-28,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-27,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-26,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-25,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-24,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-23,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-22,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-21,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-20,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-19,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-18,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-17,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-16,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-15,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-14,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-13,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-12,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-11,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-10,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-9,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-8,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-7,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-6,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-5,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-4,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-3,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-2,8.0,790.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-1,8.0,790.0,8.0
