province,market,type,name,standard,area,color,unit,minprice,avgprice,maxprice,entertime,time,time_diff
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-03-02,31.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,9.0,,,2020-03-01,32.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,9.0,,,2020-02-29,33.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,9.0,,,2020-02-28,34.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-27,35.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-26,36.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-25,37.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-24,38.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,10.0,,,2020-02-23,39.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,10.0,,,2020-02-22,40.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,10.0,,,2020-02-21,41.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-20,42.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-19,43.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-18,44.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-17,45.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-16,46.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-15,47.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-14,48.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-13,49.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-02-12,50.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-02-11,51.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-02-10,52.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-09,53.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-08,54.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-07,55.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-06,56.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-05,57.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-02-04,58.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-02,60.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-01,61.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-31,62.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-30,63.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-29,64.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-28,65.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-27,66.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-23,70.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-22,71.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-21,72.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-20,73.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-19,74.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-18,75.0
