province,market,type,name,standard,area,color,unit,minprice,avgprice,maxprice,entertime,time,_last_sell,_first_sell,_last_price
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-03-09,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-03-08,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-03-07,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-03-06,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-03-05,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-03-04,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-03-03,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-03-02,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,9.0,,,2020-03-01,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,9.0,,,2020-02-29,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,9.0,,,2020-02-28,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-27,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-26,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-25,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-24,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,10.0,,,2020-02-23,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,10.0,,,2020-02-22,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,10.0,,,2020-02-21,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-20,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-19,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-18,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-17,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-16,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-15,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-14,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-13,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-02-12,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-02-11,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-02-10,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-09,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-08,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-07,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-06,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-02-05,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-02-04,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-02,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-02-01,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-31,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-30,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-29,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-28,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-27,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-23,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2020-01-22,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-21,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-20,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-19,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-18,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-17,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-16,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-15,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-14,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-13,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-12,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-11,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-10,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-09,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-08,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-01-07,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-01-06,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-05,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-04,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-03,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-02,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-01,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-31,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-30,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-29,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-28,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-27,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-26,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-25,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-24,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-23,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-22,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-21,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-20,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-19,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-18,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-17,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-16,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-15,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-14,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-13,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-12,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-11,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-10,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-09,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-08,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-07,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-05,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-04,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-03,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-02,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-12-01,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-11-30,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-11-29,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-11-28,24.0,822.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2019-11-27,24.0,822.0,8.0
